source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Piridabén,96489-71-3,"I, A",EPP; Riesgo acuático; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Piridalilo,179101-81-6,"I, A",Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Resmetrina,10453-86-8,"I, A",Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Rotenona,83-79-4,"I, A",EPP; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,S-Dimetenamida,163515-14-8,H,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Simazina,122-34-9,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Clorato de sodio,7775-09-9,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tetratiocarbonato de sodio,7345-69-9,Fun,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Espinetoram (XDE-175-J),187166-40-1,"I, A",Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Spinosad (mezcla de Factores A y D),131929-60-7,"I, A",Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Spinosad (mezcla de Factores A y D),168316-95-8,"I, A",Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Sulfentrazona,122836-35-5,H,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tecnaceno,117-18-0,Fun,EPP; Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Teflubenzurón,83121-18-0,"I, A",Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Terrazol; etridiazol,2593-15-9,Fun,EPP; Vida silvestre; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Tetraclorvinfos, isómero Z",22248-79-9,"I, A",EPP; Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tetraconazol,112281-77-3,Fun,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tiabendazol,148-79-8,Fun,Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tiobencarb,28249-77-6,H,EPP; Riesgo acuático; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tiodicarb,59669-26-0,M,EPP; Riesgo acuático; Vida silvestre; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tiofanato-metilo,23564-05-8,Fun,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Tolfenpirad,129558-76-5,"I, A",EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Triallate,2303-17-5,H,EPP; Riesgo acuático; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Triazamato,112143-82-5,"I, A",Riesgo acuático; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Triclopir, sal de trietilamina",57213-69-1,H,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Trifloxistrobina,141517-21-7,Fun,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Triflumurón,64628-44-0,"I, A",Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Trifluralina,1582-09-8,H,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Triforina,26644-46-2,Fun,Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Triticonazol,131983-72-7,Fun,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Zeta-cipermetrina,52315-07-8,"I, A",EPP; Riesgo acuático; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Zineb,12122-67-7,Fun,EPP; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Ziram,137-30-4,Fun,EPP; Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
